Folder,Station,Latitude,Longitude,RecordLen_Hours,StartDate,EndDate,PC_missing_original,PC_missing_qcd,PC_removed,rain_original,rain_qcd,PC_rain_removed,QC_NYears_Q95_EQ_0,QC_NYears_Q99_EQ_0,QC_NYears_K1_EQ_0,QC_NYears_K5_EQ_0,QC_NYears_K10_EQ_0,QC_UnevenDist_DaysOfWeek,QC_UnevenDist_HoursOfDay,QC_NYears_IntermittencyIssues,QC_BreakPoint_PFlag,QC_BreakPoint_Magnitude,QC_NYears_R99pTOT_GT_50PC,QC_NYears_PRCPTOT_GT_50PC,QC_NYears_MinValChanges,QC_PC_HourlyNeighbours_HighFlag,QC_PC_HourlyNeighboursDry_HighFlag,QC_PC_DailyNeighbours_HighFlag,QC_PC_DailyNeighboursDry_HighFlag,QC_PC_HourlyNeighbours_LowerFlag,QC_PC_HourlyNeighboursDry_LowerFlag,QC_PC_DailyNeighbours_LowerFlag,QC_PC_DailyNeighboursDry_LowerFlag,QC_PC_MonthlyNeighbours_GT25PC_LE100PC_MOD,QC_PC_MonthlyNeighbours_LowTotal,QC_PC_MonthlyNeighbours_HighTotal,QC_PC_MonthlyNeighbours_HighTotal_ClimatologyOnly,QC_Num_WorldRecord_LE50PC,QC_Num_WorldRecord_GT50PC,QC_PC_Rx1day_LE50PC,QC_PC_Rx1day_GT50PC,QC_PC_CDD,QC_PC_DailyAccumulations,QC_PC_MonthlyAccumulations,QC_PC_Streaks,QC_PC_FactorMonthly,PC_Daily&MonthlyAccumulations,PC_DailyAccumulations_&_Rx1day,PC_Rx1day_&_HourlyNeighbours,PC_Rx1day_&_WorldRecordAll,PC_Rx1day_&_WorldRecordAll_&_HourlyNeighbours,PC_WorldRecordAll_&_HourlyNeighbours,PC_HourlyNeighbours_&_HourlyNeighboursDry,TotalRain,PC_rain_HourlyNeighbours,PC_rain_HourlyNeighboursDry,PC_rain_DailyNeighbours,PC_rain_DailyNeighboursDry,PC_rain_MonthlyNeighbours_GT25PC_LE100PC_MOD,PC_rain_MonthlyNeighbours_LowTotal,PC_rain_MonthlyNeighbours_HighTotal,PC_rain_MonthlyNeighbours_HighTotal_ClimatologyOnly,Rain_WorldRecord_LE50PC,Rain_WorldRecord_GT50PC,PC_rain_Rx1day_LE50PC,PC_rain_Rx1day_GT50PC,PC_rain_CDD,PC_rain_DailyAccumulations,PC_rain_MonthlyAccumulations,PC_rain_Streaks,PC_rain_FactorMonthly,PC_rain_Daily&MonthlyAccumulations,PC_rain_DailyAccumulations_&_Rx1day,PC_rain_Rx1day_&_HourlyNeighbours,PC_rain_Rx1day_&_WorldRecordAll,PC_rain_Rx1day_&_WorldRecordAll_&_HourlyNeighbours,PC_rain_WorldRecordAll_&_HourlyNeighbours,PC_rain_HourlyNeighbours_&_HourlyNeighboursDry
NED,ams117,52.38196,4.96511,18264,01/05/2016 01:00,01/06/2018 00:00,21.60534,21.60534,0,962.126,962.126,0,0,0,0,0,0,0,0,1,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39422,0,0,0,0,0,0,0,0,0,0,962.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80831,0,0,0,0,0,0,0,0,0,0
NED,ams118,52.26947,4.96674,18264,01/05/2016 01:00,01/06/2018 00:00,80.51905,80.51905,0,326.937,326.937,0,0,0,0,0,0,0,0,0,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NED,ams119,52.3348,4.96963,18264,01/05/2016 01:00,01/06/2018 00:00,66.16294,66.16294,0,967.883,967.883,0,0,0,0,0,0,0,0,2,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NED,ams12,52.26693,4.71668,18264,01/05/2016 01:00,01/06/2018 00:00,33.37166,33.37166,0,847.39,847.39,0,0,0,0,0,0,0,0,0,-999,nan,0,0,0,0,0,0,0,0.65703,0,0,0,0,0,0,0,0,0,0,0,0,0.13141,0,0,0,0,0,0,0,0,0,0,847.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6913,0,0,0,0,0,0,0,0,0,0
NED,ams120,52.35351,4.97125,18264,01/05/2016 01:00,01/06/2018 00:00,52.06965,52.06965,0,1194.83,1194.83,0,0,0,0,0,0,0,0,0,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52562,0,0,0,0,0,0,0,0,0,0,1194.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03381,0,0,0,0,0,0,0,0,0,0
NED,ams121,52.30029,4.97133,18264,01/05/2016 01:00,01/06/2018 00:00,0.35042,0.35042,0,1519.04,1519.04,0,0,0,0,0,0,0,0,0,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52562,0,0,0,0,0,0,0,0,0,0,1519.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05053,0,0,0,0,0,0,0,0,0,0
NED,ams122,52.29967,4.97138,18264,01/05/2016 01:00,01/06/2018 00:00,65.42378,65.42378,0,1003.637,1003.637,0,0,0,0,0,0,0,0,1,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26281,0,0,0,0,0,0,0,0,0,0,1003.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02013,0,0,0,0,0,0,0,0,0,0
NED,ams123,52.32541,4.97427,18264,01/05/2016 01:00,01/06/2018 00:00,4.3364,4.37473,0.03833,1982.731,1943.543,1.97647,0,0,0,0,0,0,0,0,-999,nan,0,0,0,0.13141,0,0,0,0.26281,0,0,0,0,0,0,0,0,0,0,0,0,0.52562,0,0,0,0,0,0,0,0,0,0,1943.543,0.27542,0,0,0,0,0,0,0,0,0,0,0,0,1.21083,0,0,0,0,0,0,0,0,0,0
NED,ams124,52.26782,4.97452,18264,01/05/2016 01:00,01/06/2018 00:00,3.44393,12.37954,8.93561,1532.877,1532.877,0,1,0,0,0,0,0,0,0,-999,nan,0,0,0,0,6.04468,0,0,0.26281,0,0,0,0,0,0,0,0,0,0,0,8.93561,0,0,0,0,0,0,0,0,0,0,0,1532.877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NED,ams125,52.32655,4.97876,18264,01/05/2016 01:00,01/06/2018 00:00,31.417,31.417,0,1248.562,1248.562,0,0,0,0,0,0,0,0,2,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
